state,county,date,cases,deaths,all_hospital_beds,hospitalized_covid_confirmed_patients,hospitalized_covid_patients,hospitalized_suspected_covid_patients,icu_available_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients
Washington,Yakima,2020-03-14,3,0.0,,,,,,,
Washington,Chelan,2020-03-15,1,1.0,,,,,,,
Washington,Clark,2020-03-15,3,0.0,,,,,,,
Washington,Columbia,2020-03-15,1,0.0,,,,,,,
Washington,Grant,2020-03-15,1,0.0,,,,,,,
Washington,Grays Harbor,2020-03-15,1,0.0,,,,,,,
Washington,Island,2020-03-15,6,0.0,,,,,,,
Washington,Jefferson,2020-03-15,3,0.0,,,,,,,
Washington,King,2020-03-15,421,38.0,,,,,,,
Washington,Kitsap,2020-03-15,5,0.0,,,,,,,
Washington,Kittitas,2020-03-15,3,0.0,,,,,,,
Washington,Klickitat,2020-03-15,1,0.0,,,,,,,
Washington,Lewis,2020-03-15,1,0.0,,,,,,,
Washington,Lincoln,2020-03-15,1,0.0,,,,,,,
Washington,Pierce,2020-03-15,29,0.0,,,,,,,
Washington,Skagit,2020-03-15,4,0.0,,,,,,,
Washington,Snohomish,2020-03-15,175,3.0,,,,,,,
Washington,Spokane,2020-03-15,7,0.0,,,,,,,
Washington,Thurston,2020-03-15,4,0.0,,,,,,,
Washington,Walla Walla,2020-03-15,1,0.0,,,,,,,
Washington,Whatcom,2020-03-15,3,0.0,,,,,,,
Washington,Yakima,2020-03-15,4,0.0,,,,,,,
Washington,Chelan,2020-03-16,1,1.0,,,,,,,
Washington,Clark,2020-03-16,4,0.0,,,,,,,
Washington,Columbia,2020-03-16,1,0.0,,,,,,,
Washington,Grant,2020-03-16,6,0.0,,,,,,,
Washington,Grays Harbor,2020-03-16,1,0.0,,,,,,,
Washington,Island,2020-03-16,7,0.0,,,,,,,
Washington,Jefferson,2020-03-16,3,0.0,,,,,,,
Washington,King,2020-03-16,489,44.0,,,,,,,
Washington,Kitsap,2020-03-16,7,0.0,,,,,,,
Washington,Kittitas,2020-03-16,3,0.0,,,,,,,
Washington,Klickitat,2020-03-16,1,0.0,,,,,,,
Washington,Lewis,2020-03-16,1,0.0,,,,,,,
Washington,Lincoln,2020-03-16,1,0.0,,,,,,,
Washington,Pierce,2020-03-16,44,0.0,,,,,,,
Washington,Skagit,2020-03-16,7,0.0,,,,,,,
Washington,Snohomish,2020-03-16,199,3.0,,,,,,,
Washington,Spokane,2020-03-16,7,0.0,,,,,,,
Washington,Thurston,2020-03-16,4,0.0,,,,,,,
Washington,Walla Walla,2020-03-16,1,0.0,,,,,,,
Washington,Whatcom,2020-03-16,3,0.0,,,,,,,
Washington,Yakima,2020-03-16,4,0.0,,,,,,,
Washington,Chelan,2020-03-17,3,1.0,,,,,,,
Washington,Clark,2020-03-17,4,2.0,,,,,,,
Washington,Columbia,2020-03-17,1,0.0,,,,,,,
Washington,Franklin,2020-03-17,1,0.0,,,,,,,
Washington,Grant,2020-03-17,6,0.0,,,,,,,
Washington,Grays Harbor,2020-03-17,1,0.0,,,,,,,
Washington,Island,2020-03-17,14,0.0,,,,,,,
Washington,Jefferson,2020-03-17,4,0.0,,,,,,,
Washington,King,2020-03-17,518,47.0,,,,,,,
Washington,Kitsap,2020-03-17,7,0.0,,,,,,,
Washington,Kittitas,2020-03-17,3,0.0,,,,,,,
Washington,Klickitat,2020-03-17,1,0.0,,,,,,,
Washington,Lewis,2020-03-17,1,0.0,,,,,,,
Washington,Lincoln,2020-03-17,1,0.0,,,,,,,
Washington,Mason,2020-03-17,1,0.0,,,,,,,
Washington,Pierce,2020-03-17,44,0.0,,,,,,,
Washington,Skagit,2020-03-17,9,0.0,,,,,,,
Washington,Snohomish,2020-03-17,265,4.0,,,,,,,
Washington,Spokane,2020-03-17,7,0.0,,,,,,,
Washington,Thurston,2020-03-17,5,0.0,,,,,,,
Washington,Walla Walla,2020-03-17,1,0.0,,,,,,,
Washington,Whatcom,2020-03-17,6,0.0,,,,,,,
Washington,Yakima,2020-03-17,5,0.0,,,,,,,
Washington,Benton,2020-03-18,1,1.0,,,,,,,
Washington,Chelan,2020-03-18,3,1.0,,,,,,,
Washington,Clark,2020-03-18,4,3.0,,,,,,,
Washington,Columbia,2020-03-18,1,0.0,,,,,,,
Washington,Franklin,2020-03-18,1,0.0,,,,,,,
Washington,Grant,2020-03-18,6,0.0,,,,,,,
Washington,Grays Harbor,2020-03-18,1,0.0,,,,,,,
Washington,Island,2020-03-18,16,0.0,,,,,,,
Washington,Jefferson,2020-03-18,4,0.0,,,,,,,
Washington,King,2020-03-18,563,57.0,,,,,,,
Washington,Kitsap,2020-03-18,9,0.0,,,,,,,
Washington,Kittitas,2020-03-18,4,0.0,,,,,,,
Washington,Klickitat,2020-03-18,1,0.0,,,,,,,
Washington,Lewis,2020-03-18,1,0.0,,,,,,,
Washington,Lincoln,2020-03-18,1,0.0,,,,,,,
Washington,Mason,2020-03-18,1,0.0,,,,,,,
Washington,Pierce,2020-03-18,56,1.0,,,,,,,
Washington,Skagit,2020-03-18,14,0.0,,,,,,,
Washington,Snohomish,2020-03-18,309,5.0,,,,,,,
Washington,Spokane,2020-03-18,7,0.0,,,,,,,
Washington,Thurston,2020-03-18,6,0.0,,,,,,,
Washington,Walla Walla,2020-03-18,1,0.0,,,,,,,
Washington,Whatcom,2020-03-18,7,0.0,,,,,,,
Washington,Yakima,2020-03-18,9,0.0,,,,,,,
Washington,Benton,2020-03-19,2,1.0,,,,,,,
Washington,Chelan,2020-03-19,3,1.0,,,,,,,
Washington,Clallam,2020-03-19,1,0.0,,,,,,,
Washington,Clark,2020-03-19,4,3.0,,,,,,,
Washington,Columbia,2020-03-19,1,0.0,,,,,,,
Washington,Franklin,2020-03-19,1,0.0,,,,,,,
Washington,Grant,2020-03-19,8,0.0,,,,,,,
Washington,Grays Harbor,2020-03-19,1,0.0,,,,,,,
Washington,Island,2020-03-19,17,1.0,,,,,,,
Washington,Jefferson,2020-03-19,4,0.0,,,,,,,
Washington,King,2020-03-19,693,61.0,,,,,,,
Washington,Kitsap,2020-03-19,12,0.0,,,,,,,
Washington,Kittitas,2020-03-19,4,0.0,,,,,,,
Washington,Klickitat,2020-03-19,2,0.0,,,,,,,
Washington,Lewis,2020-03-19,1,0.0,,,,,,,
Washington,Lincoln,2020-03-19,1,0.0,,,,,,,
Washington,Mason,2020-03-19,1,0.0,,,,,,,
Washington,Pierce,2020-03-19,75,1.0,,,,,,,
Washington,Skagit,2020-03-19,18,0.0,,,,,,,
Washington,Snohomish,2020-03-19,347,6.0,,,,,,,
Washington,Spokane,2020-03-19,9,0.0,,,,,,,
Washington,Thurston,2020-03-19,6,0.0,,,,,,,
Washington,Walla Walla,2020-03-19,1,0.0,,,,,,,
Washington,Whatcom,2020-03-19,7,1.0,,,,,,,
Washington,Yakima,2020-03-19,9,0.0,,,,,,,
Washington,Benton,2020-03-20,3,1.0,,,,,,,
Washington,Chelan,2020-03-20,3,1.0,,,,,,,
Washington,Clallam,2020-03-20,1,0.0,,,,,,,
Washington,Clark,2020-03-20,6,3.0,,,,,,,
Washington,Columbia,2020-03-20,1,0.0,,,,,,,
Washington,Cowlitz,2020-03-20,2,0.0,,,,,,,
Washington,Franklin,2020-03-20,1,0.0,,,,,,,
Washington,Grant,2020-03-20,11,0.0,,,,,,,
Washington,Grays Harbor,2020-03-20,1,0.0,,,,,,,
Washington,Island,2020-03-20,19,1.0,,,,,,,
Washington,Jefferson,2020-03-20,4,0.0,,,,,,,
Washington,King,2020-03-20,794,68.0,,,,,,,
Washington,Kitsap,2020-03-20,12,0.0,,,,,,,
Washington,Kittitas,2020-03-20,4,0.0,,,,,,,
Washington,Klickitat,2020-03-20,2,0.0,,,,,,,
Washington,Lewis,2020-03-20,2,0.0,,,,,,,
Washington,Lincoln,2020-03-20,1,0.0,,,,,,,
Washington,Mason,2020-03-20,1,0.0,,,,,,,
Washington,Pierce,2020-03-20,83,1.0,,,,,,,
Washington,San Juan,2020-03-20,1,0.0,,,,,,,
Washington,Skagit,2020-03-20,26,0.0,,,,,,,
Washington,Snohomish,2020-03-20,384,7.0,,,,,,,
Washington,Spokane,2020-03-20,11,0.0,,,,,,,
Washington,Stevens,2020-03-20,1,0.0,,,,,,,
Washington,Thurston,2020-03-20,8,0.0,,,,,,,
Washington,Walla Walla,2020-03-20,1,0.0,,,,,,,
Washington,Whatcom,2020-03-20,11,1.0,,,,,,,
Washington,Yakima,2020-03-20,10,0.0,,,,,,,
Washington,Benton,2020-03-21,8,2.0,,,,,,,
Washington,Chelan,2020-03-21,3,1.0,,,,,,,
Washington,Clallam,2020-03-21,2,0.0,,,,,,,
Washington,Clark,2020-03-21,9,3.0,,,,,,,
Washington,Columbia,2020-03-21,1,0.0,,,,,,,
Washington,Cowlitz,2020-03-21,2,0.0,,,,,,,
Washington,Franklin,2020-03-21,1,0.0,,,,,,,
Washington,Grant,2020-03-21,11,0.0,,,,,,,
Washington,Grays Harbor,2020-03-21,1,0.0,,,,,,,
Washington,Island,2020-03-21,19,1.0,,,,,,,
Washington,Jefferson,2020-03-21,4,0.0,,,,,,,
Washington,King,2020-03-21,935,76.0,,,,,,,
Washington,Kitsap,2020-03-21,15,0.0,,,,,,,
Washington,Kittitas,2020-03-21,4,0.0,,,,,,,
Washington,Klickitat,2020-03-21,4,0.0,,,,,,,
Washington,Lewis,2020-03-21,2,0.0,,,,,,,
Washington,Lincoln,2020-03-21,1,0.0,,,,,,,
Washington,Mason,2020-03-21,1,0.0,,,,,,,
Washington,Pierce,2020-03-21,95,1.0,,,,,,,
Washington,San Juan,2020-03-21,1,0.0,,,,,,,
Washington,Skagit,2020-03-21,28,0.0,,,,,,,
Washington,Snohomish,2020-03-21,446,9.0,,,,,,,
Washington,Spokane,2020-03-21,16,0.0,,,,,,,
Washington,Stevens,2020-03-21,1,0.0,,,,,,,
Washington,Thurston,2020-03-21,10,0.0,,,,,,,
Washington,Walla Walla,2020-03-21,1,0.0,,,,,,,
Washington,Whatcom,2020-03-21,14,2.0,,,,,,,
Washington,Yakima,2020-03-21,20,0.0,,,,,,,
Washington,Benton,2020-03-22,8,2.0,,,,,,,
Washington,Chelan,2020-03-22,3,1.0,,,,,,,
Washington,Clallam,2020-03-22,4,0.0,,,,,,,
Washington,Clark,2020-03-22,10,3.0,,,,,,,
Washington,Columbia,2020-03-22,1,0.0,,,,,,,
Washington,Cowlitz,2020-03-22,3,0.0,,,,,,,
Washington,Franklin,2020-03-22,2,0.0,,,,,,,
Washington,Grant,2020-03-22,18,0.0,,,,,,,
Washington,Grays Harbor,2020-03-22,1,0.0,,,,,,,
Washington,Island,2020-03-22,21,1.0,,,,,,,
Washington,Jefferson,2020-03-22,6,0.0,,,,,,,
Washington,King,2020-03-22,1036,77.0,,,,,,,
Washington,Kitsap,2020-03-22,20,0.0,,,,,,,
Washington,Kittitas,2020-03-22,4,0.0,,,,,,,
Washington,Klickitat,2020-03-22,4,0.0,,,,,,,
Washington,Lewis,2020-03-22,2,0.0,,,,,,,
Washington,Lincoln,2020-03-22,1,0.0,,,,,,,
Washington,Mason,2020-03-22,1,0.0,,,,,,,
Washington,Pierce,2020-03-22,107,1.0,,,,,,,
Washington,San Juan,2020-03-22,1,0.0,,,,,,,
Washington,Skagit,2020-03-22,34,0.0,,,,,,,
Washington,Snohomish,2020-03-22,480,10.0,,,,,,,
Washington,Spokane,2020-03-22,20,0.0,,,,,,,
Washington,Stevens,2020-03-22,1,0.0,,,,,,,
Washington,Thurston,2020-03-22,11,0.0,,,,,,,
Washington,Walla Walla,2020-03-22,1,0.0,,,,,,,
Washington,Whatcom,2020-03-22,19,2.0,,,,,,,
Washington,Whitman,2020-03-22,1,0.0,,,,,,,
Washington,Yakima,2020-03-22,24,0.0,,,,,,,
Washington,Adams,2020-03-23,1,0.0,,,,,,,
Washington,Benton,2020-03-23,8,2.0,,,,,,,
Washington,Chelan,2020-03-23,6,1.0,,,,,,,
Washington,Clallam,2020-03-23,4,0.0,,,,,,,
Washington,Clark,2020-03-23,13,4.0,,,,,,,
Washington,Columbia,2020-03-23,1,0.0,,,,,,,
Washington,Cowlitz,2020-03-23,3,0.0,,,,,,,
Washington,Douglas,2020-03-23,1,0.0,,,,,,,
Washington,Franklin,2020-03-23,2,0.0,,,,,,,
Washington,Grant,2020-03-23,23,0.0,,,,,,,
Washington,Grays Harbor,2020-03-23,1,0.0,,,,,,,
Washington,Island,2020-03-23,25,1.0,,,,,,,
Washington,Jefferson,2020-03-23,7,0.0,,,,,,,
Washington,King,2020-03-23,1166,88.0,,,,,,,
Washington,Kitsap,2020-03-23,20,0.0,,,,,,,
Washington,Kittitas,2020-03-23,5,0.0,,,,,,,
Washington,Klickitat,2020-03-23,4,0.0,,,,,,,
Washington,Lewis,2020-03-23,2,0.0,,,,,,,
Washington,Lincoln,2020-03-23,1,0.0,,,,,,,
Washington,Mason,2020-03-23,1,0.0,,,,,,,
Washington,Pierce,2020-03-23,126,1.0,,,,,,,
Washington,San Juan,2020-03-23,1,0.0,,,,,,,
Washington,Skagit,2020-03-23,45,1.0,,,,,,,
Washington,Snohomish,2020-03-23,518,10.0,,,,,,,
Washington,Spokane,2020-03-23,29,0.0,,,,,,,
Washington,Stevens,2020-03-23,1,0.0,,,,,,,
Washington,Thurston,2020-03-23,11,0.0,,,,,,,
Washington,Walla Walla,2020-03-23,1,0.0,,,,,,,
Washington,Whatcom,2020-03-23,48,2.0,,,,,,,
Washington,Whitman,2020-03-23,2,0.0,,,,,,,
Washington,Yakima,2020-03-23,25,0.0,,,,,,,
Washington,Adams,2020-03-24,1,0.0,,,,,,,
Washington,Benton,2020-03-24,12,2.0,,,,,,,
Washington,Chelan,2020-03-24,6,1.0,,,,,,,
Washington,Clallam,2020-03-24,4,0.0,,,,,,,
Washington,Clark,2020-03-24,16,4.0,,,,,,,
Washington,Columbia,2020-03-24,1,0.0,,,,,,,
Washington,Cowlitz,2020-03-24,3,0.0,,,,,,,
Washington,Douglas,2020-03-24,2,0.0,,,,,,,
Washington,Franklin,2020-03-24,7,0.0,,,,,,,
Washington,Grant,2020-03-24,27,0.0,,,,,,,
Washington,Grays Harbor,2020-03-24,1,0.0,,,,,,,
Washington,Island,2020-03-24,29,1.0,,,,,,,
Washington,Jefferson,2020-03-24,8,0.0,,,,,,,
Washington,King,2020-03-24,1278,95.0,,,,,,,
Washington,Kitsap,2020-03-24,20,0.0,,,,,,,
Washington,Kittitas,2020-03-24,6,0.0,,,,,,,
Washington,Klickitat,2020-03-24,6,0.0,,,,,,,
Washington,Lewis,2020-03-24,2,0.0,,,,,,,
Washington,Lincoln,2020-03-24,1,0.0,,,,,,,
Washington,Mason,2020-03-24,2,0.0,,,,,,,
Washington,Pierce,2020-03-24,138,1.0,,,,,,,
Washington,San Juan,2020-03-24,1,0.0,,,,,,,
Washington,Skagit,2020-03-24,48,1.0,,,,,,,
Washington,Snohomish,2020-03-24,613,15.0,,,,,,,
Washington,Spokane,2020-03-24,33,0.0,,,,,,,
Washington,Stevens,2020-03-24,1,0.0,,,,,,,
Washington,Thurston,2020-03-24,14,0.0,,,,,,,
Washington,Unknown,2020-03-24,77,0.0,,,,,,,
Washington,Walla Walla,2020-03-24,2,0.0,,,,,,,
Washington,Whatcom,2020-03-24,64,2.0,,,,,,,
Washington,Whitman,2020-03-24,2,0.0,,,,,,,
Washington,Yakima,2020-03-24,44,1.0,,,,,,,
Washington,Adams,2020-03-25,1,0.0,,,,,,,
Washington,Benton,2020-03-25,10,2.0,,,,,,,
Washington,Chelan,2020-03-25,11,1.0,,,,,,,
Washington,Clallam,2020-03-25,4,0.0,,,,,,,
Washington,Clark,2020-03-25,16,4.0,,,,,,,
